round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
5,budget,8,80,0.875,5.0283406480638,0.31875
5,heuristic,8,80,0.928125,4.946433028359209,0.334375
8,max-cover,4,160,0.815625,5.510292938470323,0.0890625
8,budget,4,160,0.9953125,7.002589306842372,0.096875
8,heuristic,4,160,0.9796875,6.411056457044031,0.071875
9,max-cover,4,160,0.75,10.350428487523605,0.078125
9,budget,4,160,0.871875,11.403804499007215,0.0859375
9,heuristic,4,160,0.990625,11.436964955765584,0.059375
6,max-cover,8,80,0.634375,2.0780029813574927,0.2640625
6,budget,8,80,0.840625,2.260634888614536,0.2984375
6,heuristic,8,80,0.990625,2.288026153717724,0.28125
5,max-cover,8,160,0.57421875,5.536979489720224,0.1375
5,budget,8,160,0.82890625,5.976304662644506,0.15703125
5,heuristic,8,160,0.9890625,5.654302867316253,0.1421875
7,max-cover,8,80,0.5765625,1.9058994803403293,0.290625
7,budget,8,80,0.8515625,2.02383802364647,0.3359375
7,heuristic,8,80,0.96875,1.9880087691958843,0.284375
8,max-cover,8,80,0.75625,4.519630228926022,0.2609375
8,budget,8,80,0.8453125,4.590305515410075,0.28125
8,heuristic,8,80,0.9796875,4.6674925496464965,0.265625
6,max-cover,8,160,0.79609375,5.745565096133149,0.165625
6,budget,8,160,0.92734375,6.075271004277578,0.1859375
6,heuristic,8,160,0.9734375,5.885096124580547,0.1375
9,max-cover,8,80,0.5125,1.346078354955552,0.2234375
9,budget,8,80,0.965625,1.5595413475247828,0.353125
9,heuristic,8,80,0.978125,1.5390937397628186,0.325
7,max-cover,8,160,0.65859375,5.084674242800404,0.16171875
7,budget,8,160,0.953125,5.437479580686111,0.203125
7,heuristic,8,160,0.971875,5.248671220131708,0.17265625
5,max-cover,12,80,0.7114583333333333,1.924963441952588,0.3583333333333333
5,budget,12,80,0.959375,2.056620621818905,0.4874999999999999
5,heuristic,12,80,0.9583333333333334,2.0643018688930908,0.4552083333333333
8,max-cover,8,160,0.6609375,6.916884233006497,0.14921875
8,budget,8,160,0.8671875,7.000538215080028,0.18203125
8,heuristic,8,160,0.99296875,6.85027319527183,0.146875
9,max-cover,8,160,0.7296875,6.464224070424677,0.1578125
9,budget,8,160,0.9765625,6.63233502897495,0.16640625
9,heuristic,8,160,0.90078125,6.7512346705233455,0.1640625
6,max-cover,12,80,0.7197916666666666,1.6719320493905865,0.396875
6,budget,12,80,0.940625,1.777905728814743,0.4479166666666667
6,heuristic,12,80,0.9572916666666668,1.7891567292236108,0.4864583333333334
7,max-cover,12,80,0.7541666666666667,2.348415668143592,0.4104166666666667
7,budget,12,80,0.9625,2.44176610037685,0.4927083333333334
7,heuristic,12,80,0.9645833333333332,2.431094120108238,0.4520833333333334
5,max-cover,12,160,0.6661458333333333,3.501799034998125,0.2151041666666666
5,budget,12,160,0.8369791666666666,3.802846227795179,0.2567708333333333
5,heuristic,12,160,0.9322916666666666,3.764130124339071,0.246875
8,max-cover,12,80,0.684375,1.6279392536854609,0.3541666666666666
8,budget,12,80,0.9052083333333334,1.7606489278104025,0.484375
